Kategoria,Nazwa,Cena,URL Obrazu
Włóczki ręcznie farbowane,"włóczka skarpetkowa, ręcznie farbowana, 01","85,00 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4457/20240722_191628aaa-1.jpg
Włóczki ręcznie farbowane,"włóczka skarpetkowa, ręcznie farbowana, 02","85,00 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4458/wloczka-skarpetkowa%2C-recznie-farbowana%2C-02.jpg
Włóczki ręcznie farbowane,"włóczka skarpetkowa, ręcznie farbowana, 03","85,00 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4459/wloczka-skarpetkowa%2C-recznie-farbowana%2C-03.jpg
Włóczki ręcznie farbowane,"włóczka skarpetkowa, ręcznie farbowana, 04","85,00 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4460/wloczka-skarpetkowa%2C-recznie-farbowana%2C-04.jpg
Włóczki ręcznie farbowane,"włóczka skarpetkowa, ręcznie farbowana, 05","85,00 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4461/wloczka-skarpetkowa%2C-recznie-farbowana%2C-05.jpg
Włóczki ręcznie farbowane,"włóczka skarpetkowa, ręcznie farbowana, 06","85,00 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4462/wloczka-skarpetkowa%2C-recznie-farbowana%2C-06.jpg
Drops Alpaca,"Drops Alpaca, 101 biały, 100% Alpaka","17,20 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_3157/wloczka%2C-Drops-Alpaca%2C-kolor-101-bialy.jpg
Drops Nepal,"Drops Nepal, 1101 biały, Wełna, Alpaka","12,20 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_3164/wloczka%2C-Drops-Nepal%2C-kolor-bialy-1101.jpg
PetiteKnit Peer Gynt,"PetiteKnit Peer Gynt, Sandnes Garn, migdałowy 2511","20,50 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_4443/wloczka%2C-PetiteKnit-Peer-Gynt%2C-Sandnes-Garn%2C-kolor-migdalowy-2511.jpg
Drops Alpaca,"Włóczka, Drops Alpaca, 100 ecru, 100% Alpaka","17,20 zł",https://wloczkowyswiat.pl/environment/cache/images/300_300_productGfx_2685/drops-alpaca%2C-kolor-100-ecru.jpg
